date,temperature,humidity,hour,day_of_week,consumption
2020-01-01,28.110131068718527,37.28922885380401,24.177059503610653,85.67557638969183,30.011898230455888
2020-01-02,27.353224818732897,36.99036104393825,24.29751641355826,85.71812101562894,30.14843632330143
2020-01-03,27.485424561551195,37.55599269157101,24.64662705010468,85.56914667614159,30.437649812601045
2020-01-04,27.904598626698906,36.9802550106148,25.001265869685902,85.97203266246414,29.878345107883693
2020-01-05,27.968793586930747,36.43327164438349,25.130714376930626,85.7259441932794,29.668848648766787
2020-01-06,28.601913478545885,35.48706760379154,25.02436344617724,85.82239680889506,29.90551536544835
2020-01-07,28.741651022512865,35.474281469794626,25.204906614580796,85.04457128608223,29.99057006818222
2020-01-08,29.31508003255583,35.179737068934884,25.054212912504696,85.04249924271151,29.761628684828946
2020-01-09,29.26944740598433,36.11031823026016,25.216234826750984,84.87601355386809,30.04346044132965
2020-01-10,29.859404729390025,35.814247104280646,25.514958686833815,83.9448191880759,30.526537282744428
2020-01-11,29.638538787436126,36.13906155154948,25.00759444424145,83.72086856307506,31.469529586707615
2020-01-12,29.721610838911353,35.70373672863679,25.45054498963036,82.54627075717215,31.029931574390403
2020-01-13,29.171043043938433,36.11184197005628,25.796682174461793,82.25112710258831,32.275617116641094
2020-01-14,29.07611230894966,36.8379768013746,24.905509427068772,82.4979805132939,33.157106685191245
2020-01-15,29.193931586948988,36.57614971685599,23.974084786454217,82.04440785178953,34.12668601422365
2020-01-16,28.42471293611451,36.49194400243185,24.39436841202433,81.68914019552957,33.96683576594137
2020-01-17,29.12803175317755,36.384154117887945,23.670943453357427,80.9290928112288,34.207946285371854
2020-01-18,29.22357205131682,36.51914831234026,23.340101071702726,81.07335690570176,34.584422748205675
2020-01-19,29.564348970339374,37.01351589765064,23.047512897340177,80.85199539132073,34.27759668335333
2020-01-20,29.545215331482428,36.70185272672262,23.028828932062645,80.83168336259264,33.645716095314
2020-01-21,29.29497173177952,37.22679940576323,23.3614390116831,81.40623745993521,33.318517851618246
2020-01-22,28.287070057656507,37.32808677144208,23.936001114235154,80.90623865554169,33.61064285171292
