date,temperature,humidity,pressure,vibration,power_consumption
2020-01-01,9.75726351318573,23.202489264223992,78.92879602442954,15.461449723594889,17.906854640671423
2020-01-02,10.499468645489884,23.60145793353028,79.11582718913853,14.97871874285337,18.049859552552242
2020-01-03,10.61942220047746,22.824747489645873,79.76284720709847,14.917276756628093,18.53799551288727
2020-01-04,10.357669833929346,23.248318309845956,79.59778676938443,15.317473054412174,18.120999121340844
2020-01-05,10.157028594690464,23.70901541302859,78.9555824859372,16.041329346018763,18.410711658209433
2020-01-06,9.794972753117992,23.313074691721575,79.47107767505219,15.86116576488381,18.478258384122785
2020-01-07,9.604501586694413,23.487324830351227,79.12832397781226,15.519863858124795,18.64556217359775
2020-01-08,9.38982105959996,23.3317121340056,79.15321223274371,15.240999663852358,19.52266741930877
2020-01-09,8.92441626191295,22.973477801293647,79.9968782536953,15.080766726600858,19.46427713553656
2020-01-10,8.81683597351558,22.424435493791407,80.08361933037499,15.705150374389918,19.288262467681417
2020-01-11,8.768817822803044,22.736963281608098,80.60118833591393,15.336943698107895,18.95436892876845
2020-01-12,8.341452614821721,22.039165425733454,81.03523561169834,15.41031084697147,18.677919290666757
2020-01-13,9.070850972846717,23.00953406585148,80.72570536835426,14.40067492393746,18.816032664921348
2020-01-14,8.770829334143603,22.68179288668336,79.59291873523132,14.340827307480737,17.512619012730028
2020-01-15,8.824487243669186,22.84630236380605,80.40293870426017,15.427016682419666,16.697985407684353
2020-01-16,9.621549196012472,22.332415145501542,80.0752613776292,15.3307188046807,16.416130713349773
2020-01-17,9.557057379712601,22.19730760280632,80.58917605203504,15.252047492767874,15.875218179333153
2020-01-18,9.054533637411907,22.154537171723074,80.82326478847646,14.578032393803163,16.411322058263384
2020-01-19,9.077530159596627,22.127062699033274,81.13367930024363,14.332161830421564,17.062485587617562
2020-01-20,9.4205306896875,21.7703703988263,80.70316481527577,14.808383942516185,17.089420298517787
2020-01-21,8.80071174795234,22.219537470152275,80.13406642523587,14.776048189098706,17.163047122536522
2020-01-22,8.567588973102561,22.16799177052941,79.54830693367768,14.194708614162856,17.148324599354833
2020-01-23,8.546559529475328,21.770824071954493,79.80657326298858,13.898530509874663,16.358233918909384
2020-01-24,8.61136785801444,21.938914413624293,79.32354303647867,14.01534105191534,15.754129488865324
2020-01-25,8.230482546580284,22.197922711623463,80.15153985165215,14.5413932353627,14.772817086181316
2020-01-26,7.511133044230325,22.517070967387482,81.29711765802718,14.032531278317567,14.38539451855001
2020-01-27,7.2207777686853065,22.818210807661703,81.12057998250631,14.903785110643447,14.966176762241204
2020-01-28,7.304351701254447,22.694723439800946,80.833132220875,14.78498035647009,15.323766101218013
2020-01-29,7.81147427596839,23.048857260661674,81.73084228441121,15.050418114742612,14.99073049300168
2020-01-30,6.826807084340043,22.55810690681759,81.12329016619945,14.87743644577769,14.789100359446344
2020-01-31,6.760127731173585,22.12708198161356,81.3624750082518,15.263551953694597,14.21841642589815
