Date,Open,High,Low,Close,Volume
2020-01-01,2988.888735933871,2999.317326079364,2994.32840918456,2994.91,1208638
2020-01-02,3017.073569480291,3045.493529752433,3010.9726477040344,3016.11,4253503
2020-01-03,3016.203192885414,3021.399840571623,3004.370787085461,3014.9,4404025
2020-01-06,3027.287331518032,3029.9157993949525,2988.4059556256766,3015.64,3075537
2020-01-07,3030.2842663905044,3034.964052284101,3009.9682212846096,3029.62,2834322
2020-01-08,3026.470198469509,3030.5580019354084,3020.343856539724,3030.03,1918121
2020-01-09,3039.416871347786,3039.626180065309,3035.223750359182,3038.39,2112419
2020-01-10,3031.665107690075,3044.5292264611076,3019.8077026068945,3033.58,3132279
2020-01-13,3037.1065817800322,3038.4635456500923,3037.292829917448,3037.58,2134427
2020-01-14,3062.402154665578,3053.6735420078307,3046.600590980879,3051.59,2283554
2020-01-15,3053.3531135228714,3066.749411019072,3047.3350535691006,3057.59,1772127
2020-01-16,3058.2776826026347,3054.9130121962426,3048.0153035733324,3053.47,3764364
2020-01-17,3052.698240792875,3066.0372294308,3049.4193501237614,3054.27,1019269
2020-01-20,3050.0356389689146,3050.698351393983,3043.9573246634873,3050.21,4239433
2020-01-21,3049.368134248328,3050.1691451231172,3032.573965823719,3049.43,3990970
2020-01-22,3059.6622675299814,3084.2294005353697,3062.8506809737055,3064.5,4368871
2020-01-23,3068.773501050718,3073.8325777181312,3052.3264011282376,3065.83,3223945
2020-01-24,3063.1325068975293,3082.534948106885,3069.553314428598,3074.42,3150433
2020-01-27,3077.9289291530745,3093.886885269742,3075.9778085559105,3079.43,4292782
2020-01-28,3093.9073963437954,3117.059386597503,3091.9679644262646,3092.43,4001632
2020-01-29,3084.869010827648,3085.943787502765,3079.9166733553398,3081.98,1011210
2020-01-30,3086.7093199486317,3086.447811101955,3073.5392170720525,3084.05,4728727
2020-01-31,3096.9787198735794,3108.7450220906967,3099.067802211716,3102.62,4895904
2020-02-03,3093.973911748382,3096.7033416164236,3084.94179681129,3096.06,1127483
2020-02-04,3118.6481147900026,3122.0803417373404,3099.4345937061,3117.94,4955000
