date,temperature,humidity,wind_speed,cloud_cover,power_output
2020-01-01,85.98770740236773,58.57389245055941,80.55747021291273,53.67900284398949,86.16042626887837
2020-01-02,85.86403596846606,58.82376329081136,80.82090112813796,54.142122687106806,85.61470804528155
2020-01-03,85.99526679669576,58.88713209867777,80.8210993306643,54.0076423310411,85.41646836085361
2020-01-04,86.0877858359117,58.808141768766745,81.29853243679655,54.09255524511399,84.98817857005366
2020-01-05,85.73752952908744,58.92866564229237,81.15470917480047,53.8835668909629,85.68394146347225
2020-01-06,86.23977219547581,58.76068857624945,80.6237461185867,53.667610282921814,85.44871714183324
2020-01-07,86.27394493616885,59.119889331292164,80.45148098172152,54.12482347070201,85.59727816909286
2020-01-08,85.70872150441194,59.995145493085886,80.26461152197825,54.234680326109554,86.14269912389818
2020-01-09,85.41506288530493,59.90859634162081,80.04886166897886,53.72194736726274,85.81660852379791
2020-01-10,86.77579809185697,60.122762933704685,80.18123999939955,54.29316266075462,86.01936982702635
2020-01-11,87.42812768556192,59.13786510885673,80.21775782655025,54.50707265114643,85.85692447070936
2020-01-12,87.89337887802229,58.267661486755465,80.32401436285,54.95199217598006,85.96478075113615
2020-01-13,88.0530672575167,58.37768484395544,81.04545634339647,55.04778091648566,85.97093384661149
2020-01-14,87.5574565424441,58.19225735469728,80.90181100935034,55.08724894940373,86.46992554391224
2020-01-15,87.51978569262893,57.83132778501194,81.60525929789155,55.02062188570794,86.41153116707001
2020-01-16,87.19219537362225,58.05530896351981,82.24540838520169,55.28308300421237,86.40446174974623
2020-01-17,87.13418731168557,57.90982168206322,81.2125726071681,54.69115963803885,87.32146049365949
2020-01-18,86.67372034204267,58.131766223066954,80.61999723687309,54.960989789216434,86.62959827542778
2020-01-19,86.94974583792093,58.19415451841191,79.99279424266993,54.16951601358344,86.97485127624806
2020-01-20,86.56760256880308,58.56850460673266,80.78449983281644,53.861823449300246,87.90613170797725
2020-01-21,86.23418305164907,58.50269880321662,80.76114498241652,54.58472961637345,87.84828348137985
2020-01-22,86.45717855591049,58.49272538909414,80.54924902714565,54.03809782202679,87.18895773890837
2020-01-23,87.44944610858026,58.34811391892817,79.90773104112256,53.75357747213032,86.882605833958
2020-01-24,86.92553756843286,58.11422701353395,80.41839115285939,53.495683768381994,86.75025014433147
2020-01-25,86.58360621497592,58.336247680204764,80.23370481480741,53.094635770878526,87.49967050414398
2020-01-26,86.6127353175421,57.86815562773152,79.18228609920624,52.97421860333777,86.72516700006842
2020-01-27,86.37359422670679,58.394867599271976,80.03173784741763,53.04759420547442,86.9370570181311
2020-01-28,85.27277606189453,57.90512840576519,80.01396202383815,53.751577976206,86.20434221028115
